Tablet,AM,BA,DI2,DU,IM,IR,KA3,KI,KU3,LI,MA,NA,ŠA,ŠUR,TIM,U3,ZI
EN233,7a,2,1b,2g,11a,2,1c,1,4,1b,2,1,1a,1,1a,4,1a
SL152,7a,2,1c,2g,1a,1,1b,1,4,1b,2,1,1a,1,,4,1a
459,7a,2,1c,2g,1a,,1a,2,4,1b,1,,1a,,,,1a
336,7a,2,1b,2g,1b,,,2,4,1b,2,2,1a,,1c,4,1a
AKT_6_228,7a,2,1d,2g,1a,2,2a,2,4,1b,1,2,1a,1,1d,,1a
EN225,7a,2,1c,2g,1b,2,1c,1,4,1b,2,2,1a,,1d,,1a
SL138,7a,2,1b,2g,1b,1,1b,1,4,1b,2,1,1a,1,1d,,1a
SL128,7a,2,1c,2g,1a,2,3a,2,4,1b,2,2,1a,1,1c,4,1a
246,7a,2,1d,2g,,2,3b,2,,1b,2,2,1a,,1c,4,1a
416,7a,2,1b,2b,1a,,1c,1,4,,2,2,1a,,1c,,1a
AKT_6_153,7a,2,1b,2b,1d,,1a,1,4,1b,2,1,1a,,1c,,1a
472,7a,2,1d,2b,,1,1b,2,4,,2,2,1a,1,1c,3,1a
EN_466,7a,2,1b,2b,1a,2,1b,1,4,1b,2,,1a,1,1c,4,1a
494,7a,2,1b,2b,1b,,1b,1,,1b,2,1,,1,,,
384,7a,2,1b,2b,12a,2,1a,2,4,1b,2,2,1a,,1c,,1a
