Tablet,AM,BA,DI2,DU,IM,IR,KA3,KI,KU3,LI,MA,NA,ŠA,ŠUR,TIM,U3,ZI
SL136,7b,,2b,2a,2a,,1b,2,10,2a,1,4,1a,2,1c,3,2a
SL126,7b,1,2b,2a,2b,1,1b,2,6,2a,1,4,1a,5,,3,6a
SL157,7b,1,1d,2a,2b,2,1c,2,6,5a,1,4,1a,5,,,6a
SL156,7b,2,2b,2a,2b,,1b,1,6,4a,1,4,1a,5,1a,3,
SL149,,1,2b,,,,1c,2,6,5a ,1,4,1a,5,1e,3,
SL155,,,2d,,2b,,1b,2,6,4a,1,4,1a,3,1a,3,3a
SL158,,2,4b,,1b,,1c,2,6,5a,,4,1a,5,,,
AH656,7b,1,2b,2a,,,,2,6,3a,1,4,1a,2,1a,3,
SL137,,1,2a,2a,2b,,1b,2,,3a,1,4,1a,5,1a,3,6a
AH296,,1,1d,2a,,1,1a,2,,5a,1,4,,2,1a,3,
190,,,1d,,,,,2,,5a,1,4,,3,1e,,
