Tablet,AM,BA,DI2,DU,IM,IR,KA3,KI,KU3,LI,MA,NA,ŠA,ŠUR,TIM,U3,ZI
182,2b,2,1d,1a,,,1b,3,5,3a,1b,3,2a,1,1b,,3a
240,1a,,1a,,,,1b,3,,3a,1,2,1a,3,,3,3a
541,1b,2,1d,,1c,,1a,3,1,3a,1,3,1a,,,,3a
543,2c,,1d,1a,1b,1b,1b,3,5,3a,1,3,1a,1,,,
544,,2,1b,1a,1b,,,3,5,3a,1,3,1a,,1a,,3a
548,,2,1d,,1b,1,1b,3,5,3a,1,3,1a,1,,,3a
551,1c,2,1d,1a,1b,,1a,1,5,3a,2,1,1a,,,,3a
614,2c,2,2b,1a,1b,2,1b,,5,3a,1,1,1a,,1a,,3a
584,,2,1d,,1b,2,1b,1,5,3a,1,2,1a,1,1a,,3a
565,2b,,1b,,1b,,,3,5,3a,1,3,1a,1,,,
608,7b,2,1b,1a,1b,1,,3,2,2f,1,1c,1a,3,,4,2d
328,2b,,1d,1a,1c,1,1b,3,,,2,3,1a,1,1b,,
609,2a,2,1b,1a,8a,2,1a,3,6,1b,1b,3,2a,,,2,2d
AH209,,2,1b,1a,,1b,,2,,2c,1,2,2a,1,,4,
